Rk,School,From,To,Yrs,G,W,L,T,Pct,BG,BW,BL,BT,BPct,SRS,SOS,AP,CC,Notes
47,Coastal Carolina,2017,2023,7,86,51,35,0,.593,3,1,2,0,.333,-3.03,-4.89,1,1,
48,Coe,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,
49,Colby,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-5.30,1.55,0,0,
50,Colgate,1905,1981,76,670,363,266,41,.572,0,0,0,0,,-0.87,-4.01,0,0,
51,Colorado,1902,2023,122,1225,670,517,35,.563,30,12,18,0,.400,3.85,1.44,19,19,
52,Colorado College,1902,1945,39,296,169,109,18,.601,0,0,0,0,,-1.27,-4.88,1,2,
53,Colorado Mines,1902,1937,36,239,98,128,13,.437,0,0,0,0,,-6.56,-4.56,0,3,
54,Colorado State,1902,2023,116,1155,531,592,31,.474,17,6,11,0,.353,-4.03,-2.96,3,15,record adjusted to 532-591-31 by NCAA
55,Columbia,1870,1981,84,699,282,382,35,.428,1,1,0,0,1.000,-4.55,-1.67,2,1,
56,Connecticut,1979,2023,25,290,113,175,2,.393,7,3,4,0,.429,-6.60,-2.55,0,2,
57,Cornell,1888,1981,93,837,488,317,32,.602,0,0,0,0,,2.20,-2.18,5,1,
58,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
59,Creighton,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
60,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
61,Dartmouth,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.50,-2.81,5,12,
62,Davidson,1902,1973,66,601,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
63,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
64,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
65,Denver,1902,1960,59,520,259,228,33,.530,2,0,2,0,.000,-4.08,-4.86,0,6,
66,Detroit Mercy,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.25,0,3,
67,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.19,-3.54,0,0,
68,Drake,1900,1985,73,666,316,326,24,.492,3,2,1,0,.667,-5.60,-5.70,0,7,
69,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
70,Duke,1922,2023,102,1093,516,548,28,.485,15,7,8,0,.467,2.62,2.69,16,17,
71,Duquesne,1933,1950,14,132,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
72,East Carolina,1965,2023,59,677,344,330,3,.510,17,8,9,0,.471,-2.70,-2.70,2,6,record adjusted to 345-329-3 by NCAA
73,East Tennessee State,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
74,Eastern Michigan,1975,2023,49,556,183,365,7,.336,6,2,4,0,.333,-14.02,-7.32,0,1,
75,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
76,Florida,1911,2023,111,1208,733,436,37,.623,48,24,24,0,.500,8.90,4.30,34,9,
77,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
78,Florida Atlantic,2004,2023,20,240,105,137,0,.434,5,4,1,0,.800,-7.63,-4.98,0,3,
79,Florida International,2004,2023,20,235,81,154,0,.345,5,2,3,0,.400,-12.49,-6.37,0,1,
80,Florida State,1954,2023,70,832,555,259,16,.678,48,29,17,2,.625,10.89,3.85,34,15,record adjusted to 544-258-16 by NCAA
81,Fordham,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
82,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
83,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
84,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
85,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.27,-3.24,0,0,
86,Fresno State,1969,2023,55,669,385,273,4,.585,25,13,12,0,.520,-1.72,-5.33,4,13,record adjusted to 388-270-4 by NCAA
87,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
88,George Washington,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
89,Georgetown,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.82,-2.36,1,0,
90,Georgia,1902,2023,120,1310,854,405,50,.672,61,37,21,3,.631,10.62,4.82,41,14,
91,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
92,Georgia Southern,2014,2023,10,125,65,60,0,.520,5,3,2,0,.600,-3.23,-4.36,0,1,
93,Georgia State,2013,2023,11,133,50,83,0,.376,5,3,2,0,.600,-8.98,-4.10,0,0,
94,Georgia Tech,1902,2023,122,1312,749,519,40,.588,45,25,20,0,.556,8.28,4.55,24,8,record adjusted to 748-519-40 by NCAA
95,Gonzaga,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
96,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
97,Great Lakes Navy,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
98,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.86,-4.63,0,0,
99,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
100,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
101,Hardin-Simmons,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
102,Harvard,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.22,-2.09,0,5,
103,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.71,-2.12,0,0,
104,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
105,Hawaii,1971,2023,51,626,311,309,6,.502,14,8,6,0,.571,-3.89,-3.31,2,4,
106,Holy Cross,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.94,-4.32,5,0,
107,Houston,1949,2023,75,850,460,374,15,.551,30,13,16,1,.450,3.09,1.12,15,11,record adjusted to 460-374-14 by NCAA
108,Idaho,1917,2017,75,739,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
109,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
110,Illinois,1892,2023,132,1299,622,624,49,.499,20,8,12,0,.400,5.91,5.21,13,15,
111,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
112,Indiana,1899,2023,125,1217,482,690,38,.414,13,3,10,0,.231,1.98,4.58,6,2,record adjusted to 483-689-38 by NCAA
113,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
114,Iowa,1899,2023,125,1251,663,546,34,.547,35,18,16,1,.529,6.85,5.12,26,11,record adjusted to 664-545-34 by NCAA
115,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
116,Iowa State,1895,2023,126,1262,545,670,45,.450,17,5,12,0,.294,0.32,1.47,3,2,record adjusted to 546-669-45 by NCAA
117,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
118,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
119,Jacksonville State,2023,2023,1,12,8,4,0,.667,,,,,,1.28,-5.38,0,0,
120,James Madison,2022,2023,2,23,19,4,0,.826,,,,,,7.86,-3.85,0,0,
121,Kansas,1901,2023,123,1257,546,656,54,.456,13,6,7,0,.462,0.92,2.49,7,5,
122,Kansas State,1912,2023,112,1168,509,624,35,.451,24,10,14,0,.417,-0.05,2.01,14,3,record adjusted to 510-624-34 by NCAA
123,Kent State,1962,2023,62,690,226,457,5,.332,4,1,3,0,.250,-12.43,-6.62,0,1,
124,Kentucky,1915,2023,108,1141,528,577,36,.479,22,12,10,0,.545,3.89,3.96,10,2,record adjusted to 529-576-36 by NCAA
125,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
126,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.07,-2.53,0,0,
127,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
128,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
129,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
130,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-2.98,-2.44,0,0,
131,Liberty,2018,2023,6,74,52,22,0,.703,4,3,1,0,.750,-0.10,-7.05,1,0,
132,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
133,Long Beach State,1969,1991,23,257,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
134,Louisiana,1973,2023,51,591,272,314,5,.464,10,7,3,0,.700,-8.22,-5.89,2,6,record adjusted to 250-314-5 by NCAA
135,Louisiana Tech,1975,2023,43,506,253,246,7,.507,13,8,4,1,.654,-4.42,-4.69,0,4,record adjusted to 254-245-7 by NCAA
136,Louisiana-Monroe,1975,2023,37,428,149,277,2,.350,1,0,1,0,.000,-11.59,-5.19,0,1,
137,Louisville,1962,2023,62,717,385,324,7,.543,24,11,12,1,.479,-0.44,-1.74,11,8,record adjusted to 387-322-7 by NCAA
138,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
139,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
140,LSU,1902,2023,119,1282,812,421,47,.653,54,29,24,1,.546,9.99,4.52,43,12,record adjusted to 777-417-47 by NCAA
141,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
142,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-0.56,-0.88,0,0,
143,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
144,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
145,Mare Island Marines,1917,1918,2,19,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
146,Marquette,1927,1960,34,306,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
147,Marshall,1962,2023,47,549,261,283,3,.480,18,13,5,0,.722,-7.79,-5.97,3,6,
148,Maryland,1917,2023,107,1149,584,534,30,.522,29,13,14,2,.483,2.48,1.83,18,11,
149,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
150,Massachusetts,1882,2023,26,252,71,175,6,.294,0,0,0,0,,-11.37,-3.75,0,0,
151,McNeese State,1975,1981,7,82,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
152,Memphis,1960,2023,64,723,356,358,8,.499,14,6,8,0,.429,-0.85,-1.64,3,5,record adjusted to 357-357-8 by NCAA
153,Mercer,1909,1936,15,138,55,74,9,.431,0,0,0,0,,-3.92,-2.03,0,0,
154,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
155,Miami (FL),1936,2023,87,980,614,352,12,.634,41,19,22,0,.463,8.70,3.57,33,9,
156,Miami (OH),1962,2023,62,701,383,300,15,.559,12,6,6,0,.500,-3.68,-5.96,4,10,record adjusted to 384-299-15 by NCAA
157,Michigan,1881,2023,134,1377,975,345,35,.732,50,21,29,0,.420,13.83,5.05,63,44,
158,Michigan State,1918,2023,99,1055,607,405,30,.597,30,14,16,0,.467,8.97,4.88,28,9,record adjusted to 602-410-30 by NCAA
159,Middle Tennessee State,1999,2023,25,303,147,156,0,.485,10,4,6,0,.400,-6.62,-5.77,0,2,
160,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
161,Minnesota,1892,2023,132,1294,716,534,42,.570,23,11,12,0,.478,8.19,4.86,15,18,
162,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
163,Mississippi State,1902,2023,119,1220,603,579,37,.510,26,15,11,0,.577,3.46,3.07,15,1,record adjusted to 586-597-36 by NCAA
164,Mississippi Valley State,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
165,Missouri,1901,2023,122,1270,662,558,50,.541,35,15,20,0,.429,4.83,3.21,18,12,record adjusted to 664-556-50 by NCAA
166,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
167,Montana,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
168,Montana State,1923,1947,17,140,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
169,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-6.15,4.40,0,0,
170,Navy,1891,2023,130,1339,705,580,52,.547,24,12,11,1,.521,3.83,1.38,14,0,
171,Nebraska,1900,2023,124,1331,882,399,38,.683,53,26,27,0,.491,10.50,3.75,48,43,record adjusted to 883-399-37 by NCAA
172,Nevada,1946,2023,37,439,232,207,0,.528,19,7,12,0,.368,-4.22,-5.56,1,7,
173,Nevada-Las Vegas,1978,2023,46,533,199,330,3,.377,4,3,1,0,.750,-9.26,-3.96,0,1,record adjusted to 181-348-3 by NCAA
174,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-10.04,-4.12,0,0,
175,New Mexico,1931,2023,92,1003,411,576,17,.418,12,4,7,1,.375,-6.95,-3.99,0,4,
176,New Mexico State,1931,2023,90,959,336,609,14,.358,5,4,0,1,.900,-13.12,-7.74,1,4,record adjusted to 337-608-14 by NCAA
177,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
178,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
179,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
180,North Carolina,1902,2023,120,1277,685,540,48,.557,37,15,22,0,.405,4.77,2.82,17,7,record adjusted to 669-540-48 by NCAA
181,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
182,North Carolina State,1902,2023,118,1239,614,578,46,.515,34,17,16,1,.515,1.75,1.35,14,7,
183,North Texas,1953,2023,59,659,284,365,11,.439,12,2,10,0,.167,-7.89,-5.17,0,9,record adjusted to 287-362-11 by NCAA
184,Northern Arizona,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
185,Northern Colorado,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
186,Northern Illinois,1968,2023,56,649,312,333,4,.484,14,4,10,0,.286,-8.02,-6.79,1,6,
187,Northwestern,1892,2023,130,1294,556,695,40,.446,16,6,10,0,.375,2.83,5.42,13,8,record adjusted to 557-694-40 by NCAA
188,Northwestern State,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
189,Notre Dame,1899,2023,117,1247,891,323,33,.728,41,20,21,0,.488,14.74,6.03,58,0,record adjusted to 870-323-33 by NCAA
190,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
191,Ohio,1962,2023,62,701,312,380,9,.451,14,6,8,0,.429,-8.40,-6.67,1,3,
192,Ohio State,1904,2023,112,1187,856,265,36,.755,55,27,28,0,.491,15.30,5.96,62,40,record adjusted to 844-264-36 by NCAA
193,Oklahoma,1903,2023,115,1269,891,320,47,.727,56,31,24,1,.563,12.41,3.59,61,49,
194,Oklahoma State,1914,2023,110,1184,603,534,41,.529,33,21,12,0,.636,2.74,1.96,16,10,
195,Old Dominion,2014,2023,10,110,46,64,0,.418,2,1,1,0,.500,-9.02,-4.65,0,0,
196,Ole Miss,1902,2023,118,1245,678,528,34,.560,40,25,15,0,.625,4.98,2.85,26,6,record adjusted to 649-524-34 by NCAA
197,Oregon,1916,2023,106,1139,626,468,34,.570,36,16,20,0,.444,5.67,3.27,19,13,record adjusted to 627-467-34 by NCAA
198,Oregon State,1916,2023,106,1121,492,589,36,.457,17,10,7,0,.588,1.82,3.53,11,5,record adjusted to 496-585-36 by NCAA
199,Pacific,1943,1995,47,498,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 211-278-9 by NCAA
200,Penn State,1889,2023,130,1345,908,400,37,.689,52,31,19,2,.615,9.33,2.30,44,4,
201,Pennsylvania,1876,1981,105,1027,618,369,40,.621,1,0,1,0,.000,3.33,-0.42,7,1,
202,Phillips,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
203,Pitt,1905,2023,119,1266,712,508,37,.581,37,15,22,0,.405,7.16,4.12,21,3,record adjusted to 713-507-37 by NCAA
204,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
205,Prairie View A&M,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
206,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
207,Princeton,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.03,-1.29,4,5,
208,Purdue,1892,2023,132,1279,630,593,48,.515,21,11,10,0,.524,5.57,4.56,16,8,record adjusted to 631-592-48 by NCAA
209,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
210,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
211,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
212,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
213,Rice,1914,2023,110,1165,484,650,32,.429,13,7,6,0,.538,-0.54,2.30,7,8,record adjusted to 485-649-32 by NCAA
214,Richmond,1909,1983,58,565,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
215,Rutgers,1869,2023,109,1037,498,516,22,.491,11,6,5,0,.545,-3.11,-2.65,3,1,record adjusted to 499-515-22 by NCAA
216,Saint Louis,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
217,Saint Mary's (CA),1930,1950,20,182,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
218,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
219,Sam Houston,2023,2023,1,12,3,9,0,.250,,,,,,-9.35,-3.68,0,0,
220,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
221,San Diego State,1969,2023,55,652,360,284,8,.558,16,7,9,0,.438,-0.08,-2.01,3,9,record adjusted to 362-282-8 by NCAA
222,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
223,San Jose State,1950,2023,74,825,364,443,14,.452,10,5,5,0,.500,-5.46,-3.46,2,9,record adjusted to 362-446-13 by NCAA
224,Santa Clara,1932,1952,18,163,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
225,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
226,Sewanee,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.56,0.28,0,0,
227,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
228,SMU,1916,2023,106,1147,533,560,54,.488,18,7,10,1,.417,2.13,2.49,11,10,record adjusted to 529-554-54 by NCAA
229,South Alabama,2012,2023,12,147,59,88,0,.401,3,0,3,0,.000,-7.70,-4.32,0,0,
230,South Carolina,1903,2023,116,1230,601,580,41,.509,25,10,15,0,.400,2.15,1.87,10,1,record adjusted to 602-579-41 by NCAA
231,South Florida,2000,2023,24,288,147,141,0,.510,10,6,4,0,.600,-1.38,-1.76,2,0,
232,Southern,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
233,Southern Illinois,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
234,Southern Mississippi,1963,2023,61,705,380,318,6,.544,23,12,11,0,.522,-0.34,-1.97,3,5,record adjusted to 382-316-6 by NCAA
235,Southwestern (TX),1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
236,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
237,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
238,Stanford,1918,2023,103,1113,596,479,34,.553,29,15,13,1,.534,6.43,4.87,20,14,
239,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
240,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.68,-0.98,0,0,
241,Syracuse,1899,2023,122,1267,698,526,41,.568,27,16,10,1,.611,4.13,1.28,15,5,record adjusted to 687-526-41 by NCAA
242,Tampa,1966,1974,7,73,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
243,Temple,1930,2023,76,810,340,444,26,.436,9,3,6,0,.333,-3.35,-0.97,1,1,record adjusted to 335-449-26 by NCAA
244,Tennessee,1902,2023,119,1301,850,396,51,.675,55,30,25,0,.545,10.07,3.62,45,13,record adjusted to 851-396-50 by NCAA
245,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-9.28,2.06,0,0,
246,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
247,Texas,1902,2023,122,1311,896,381,32,.697,58,31,25,2,.552,11.91,4.17,50,30,record adjusted to 897-381-31 by NCAA
