Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
17,Auburn,2,1,1,0.5,6.14,1.64,1,0,0,0,168,159,80,57,133,0.429,20,51,0.392,34,45,0.756,29,84,39,11,17,26,51,2023-2024
18,Austin Peay,2,1,1,0.5,0.66,22.66,1,0,0,1,135,139,80,48,125,0.384,20,60,0.333,19,32,0.594,19,69,23,21,5,16,40,2023-2024
19,Ball State,2,2,0,1,0.85,-4.15,2,0,0,0,174,108,80,58,122,0.475,21,52,0.404,37,54,0.685,27,76,25,14,8,22,27,2023-2024
20,Baylor,3,3,0,1,1.86,-8.64,2,0,0,0,261,214,120,93,191,0.487,14,51,0.275,61,82,0.744,50,128,37,34,17,42,46,2023-2024
21,Bellarmine,2,0,2,0,-24,-3,0,0,0,2,132,174,80,51,123,0.415,15,42,0.357,15,19,0.789,19,60,30,16,2,35,34,2023-2024
22,Belmont,2,1,1,0.5,-4.57,5.94,1,0,0,1,165,186,80,62,129,0.481,11,41,0.268,30,42,0.714,13,69,28,13,9,23,27,2023-2024
23,Bethune-Cookman,2,1,1,0.5,-6,14,1,0,0,1,173,126,80,63,149,0.423,17,58,0.293,30,40,0.75,39,93,32,36,11,27,45,2023-2024
24,Binghamton,3,1,2,0.333,-18.4,1.6,1,0,0,2,225,211,120,80,177,0.452,24,72,0.333,41,61,0.672,32,121,46,16,19,45,53,2023-2024
25,Boise State,2,2,0,1,20.47,15.47,2,0,0,0,152,113,80,54,123,0.439,8,39,0.205,36,55,0.655,30,95,24,14,4,26,26,2023-2024
26,Boston College,2,2,0,1,11.22,-0.28,1,0,1,0,164,141,80,65,127,0.512,15,42,0.357,19,25,0.76,22,76,27,17,12,23,29,2023-2024
27,Boston University,2,0,2,0,-17.77,-1.27,0,0,0,2,103,136,80,37,109,0.339,14,49,0.286,15,24,0.625,14,62,16,23,4,27,38,2023-2024
28,Bowling Green State,2,2,0,1,17.16,-0.34,2,0,0,0,151,116,80,56,119,0.471,13,46,0.283,26,40,0.65,18,82,22,12,10,19,30,2023-2024
29,Bradley,2,2,0,1,8.79,4.79,1,0,1,0,145,137,90,52,121,0.43,15,54,0.278,26,41,0.634,16,87,28,15,12,28,37,2023-2024
30,Brigham Young,2,2,0,1,11.67,-16.33,2,0,0,0,184,128,80,66,145,0.455,25,70,0.357,27,34,0.794,33,101,40,13,3,23,36,2023-2024
31,Brown,2,0,2,0,6.55,8.55,0,1,0,1,145,149,85,51,132,0.386,15,53,0.283,28,48,0.583,33,90,27,13,16,29,34,2023-2024
32,Bryant,3,1,2,0.333,-1.36,4.14,1,1,0,1,256,206,120,95,202,0.47,32,80,0.4,34,58,0.586,34,133,44,22,23,36,54,2023-2024
33,Bucknell,3,1,2,0.333,-7.56,2.77,0,1,1,1,191,222,120,70,163,0.429,21,67,0.313,30,47,0.638,23,89,34,25,15,38,57,2023-2024
34,Buffalo,2,0,2,0,-26.85,-16.85,0,2,0,1,142,162,80,50,127,0.394,15,52,0.288,27,40,0.675,26,81,30,13,6,28,42,2023-2024
35,Butler,3,3,0,1,18.36,-17.64,3,0,0,0,266,158,120,95,190,0.5,26,78,0.333,50,64,0.781,26,126,50,25,15,33,42,2023-2024
36,Cal Poly,3,1,2,0.333,-1.28,16.23,1,0,0,2,222,239,120,82,189,0.434,14,47,0.298,44,62,0.71,31,102,24,22,8,36,73,2023-2024
37,Cal State Bakersfield,3,1,2,0.333,-32.4,-17.4,1,0,0,2,195,240,120,71,168,0.423,14,45,0.311,39,57,0.684,34,105,27,15,12,39,61,2023-2024
38,Cal State Fullerton,2,1,1,0.5,-23.33,2.67,1,0,0,1,135,131,80,47,112,0.42,12,47,0.255,29,50,0.58,23,85,24,11,5,32,41,2023-2024
39,Cal State Northridge,2,1,1,0.5,1.53,4.53,0,0,1,1,155,161,80,62,137,0.453,9,28,0.321,22,30,0.733,26,82,21,17,10,27,37,2023-2024
40,California,3,2,1,0.667,-6.41,-12.07,2,1,0,0,233,216,120,77,172,0.448,28,74,0.378,51,73,0.699,38,110,36,14,9,30,52,2023-2024
41,California Baptist,2,2,0,1,1.75,-12.25,2,0,0,0,154,123,80,49,112,0.438,19,52,0.365,37,58,0.638,28,83,28,13,7,22,28,2023-2024
42,Campbell,2,1,1,0.5,2,3.5,1,0,0,1,122,125,80,40,81,0.494,6,23,0.261,36,50,0.72,10,59,17,10,3,30,27,2023-2024
43,Canisius,2,1,1,0.5,1.5,6,0,0,1,1,147,156,80,58,118,0.492,22,46,0.478,9,24,0.375,21,66,26,10,4,31,38,2023-2024
44,Central Arkansas,3,1,2,0.333,-24.22,-14.72,1,1,0,1,218,194,120,77,189,0.407,22,79,0.278,42,64,0.656,44,127,44,26,14,43,53,2023-2024
45,Central Connecticut State,3,1,2,0.333,-5.55,1.95,1,0,0,2,239,197,120,95,199,0.477,15,64,0.234,34,54,0.63,30,115,49,27,17,27,45,2023-2024
46,Central Florida,2,1,1,0.5,1.71,-1.79,1,0,0,1,157,150,80,61,135,0.452,12,44,0.273,23,34,0.676,30,75,22,23,7,36,45,2023-2024
47,Central Michigan,3,0,3,0,-44.44,-22.11,0,1,0,2,190,257,120,68,162,0.42,18,68,0.265,36,58,0.621,35,92,28,18,7,57,53,2023-2024
48,Charleston Southern,3,2,1,0.667,-14,-3,2,1,0,0,266,201,120,98,181,0.541,27,68,0.397,43,62,0.694,32,119,47,14,9,34,58,2023-2024
49,Charlotte,2,1,1,0.5,5.5,3,1,0,0,0,128,123,80,48,95,0.505,11,30,0.367,21,26,0.808,10,61,27,9,6,23,27,2023-2024
50,Chattanooga,2,2,0,1,2.36,-7.64,1,0,1,0,170,115,80,59,120,0.492,22,62,0.355,30,44,0.682,28,93,32,13,14,33,34,2023-2024
51,Chicago State,3,1,2,0.333,-13.28,-5.61,0,1,1,1,180,203,120,59,168,0.351,16,60,0.267,46,67,0.687,36,111,29,26,7,43,56,2023-2024
52,Cincinnati,3,3,0,1,10.45,-7.88,3,0,0,0,247,192,120,91,198,0.46,29,80,0.363,36,59,0.61,36,127,49,22,6,29,41,2023-2024
53,Clemson,3,3,0,1,8.65,-0.02,1,0,0,0,223,197,120,80,174,0.46,31,82,0.378,32,47,0.681,22,96,54,14,19,30,49,2023-2024
54,Cleveland State,3,2,1,0.667,11.14,10.14,2,0,0,1,261,198,120,90,183,0.492,22,53,0.415,59,83,0.711,44,112,41,33,15,31,58,2023-2024
55,Coastal Carolina,1,1,0,1,NA,NA,1,0,0,0,88,86,40,30,68,0.441,9,30,0.3,19,36,0.528,23,53,18,4,4,16,18,2023-2024
56,Colgate,1,1,0,1,8.93,6.93,1,0,0,0,72,70,40,25,54,0.463,6,19,0.316,16,22,0.727,6,40,12,8,3,12,21,2023-2024
57,College of Charleston,2,1,1,0.5,-4.91,3.1,1,0,0,0,143,159,80,48,117,0.41,12,55,0.218,35,50,0.7,22,78,26,15,7,30,29,2023-2024
58,Colorado,2,2,0,1,13.2,-11.8,2,0,0,0,170,120,80,61,113,0.54,18,40,0.45,30,41,0.732,23,79,49,15,10,28,35,2023-2024
59,Colorado State,2,2,0,1,0,-18,2,0,0,0,186,150,80,68,117,0.581,18,45,0.4,32,37,0.865,4,54,56,14,5,19,31,2023-2024
60,Columbia,3,1,2,0.333,-6.3,4.7,1,1,0,1,220,192,120,73,185,0.395,23,75,0.307,51,58,0.879,28,101,42,35,7,36,50,2023-2024
61,Connecticut,2,2,0,1,24.41,-17.09,2,0,0,0,202,119,80,70,128,0.547,17,56,0.304,45,60,0.75,32,92,39,17,17,21,31,2023-2024
62,Coppin State,3,0,3,0,-25.04,1.63,0,1,0,2,164,244,120,55,156,0.353,14,59,0.237,40,58,0.69,18,66,19,27,10,41,53,2023-2024
63,Cornell,3,3,0,1,2.69,-2.82,1,0,2,0,269,237,120,96,177,0.542,32,82,0.39,45,73,0.616,28,115,58,28,9,52,58,2023-2024
64,Creighton,2,2,0,1,18.63,-21.38,2,0,0,0,194,114,80,71,121,0.587,30,66,0.455,22,32,0.688,24,89,39,9,10,21,13,2023-2024
65,Dartmouth,2,0,2,0,-8.63,26.88,0,1,0,1,102,173,80,37,111,0.333,6,39,0.154,22,35,0.629,20,63,17,10,3,28,29,2023-2024
66,Davidson,3,2,1,0.667,7.88,7.88,1,0,0,0,215,192,120,72,172,0.419,27,76,0.355,44,62,0.71,38,117,41,23,10,30,51,2023-2024
67,Dayton,2,1,1,0.5,-7.48,-12.98,1,0,0,1,129,118,80,41,87,0.471,17,46,0.37,30,37,0.811,11,58,33,9,4,26,33,2023-2024
68,Delaware,3,3,0,1,12.75,-1.76,2,0,1,0,244,182,120,92,176,0.523,26,61,0.426,34,55,0.618,27,118,48,20,13,29,44,2023-2024
69,Delaware State,2,0,2,0,-15.46,15.05,0,0,0,2,104,165,80,40,118,0.339,4,25,0.16,20,28,0.714,25,65,21,23,3,44,36,2023-2024
70,Denver,2,1,1,0.5,11.24,4.74,1,0,0,1,184,171,80,55,120,0.458,16,39,0.41,58,72,0.806,32,89,32,6,7,25,37,2023-2024
71,DePaul,2,0,2,0,3.1,9.1,0,2,0,0,147,159,80,51,110,0.464,15,44,0.341,30,43,0.698,14,64,31,10,12,34,40,2023-2024
72,Detroit Mercy,2,0,2,0,-18.33,14.67,0,0,0,2,121,187,80,46,103,0.447,15,43,0.349,14,27,0.519,8,52,23,14,4,38,37,2023-2024
73,Drake,1,1,0,1,-1.33,-16.33,1,0,0,0,85,70,40,32,62,0.516,9,25,0.36,12,16,0.75,10,36,13,5,2,13,15,2023-2024
74,Drexel,2,1,1,0.5,-10.25,-8.25,0,0,1,1,135,139,80,50,117,0.427,9,37,0.243,26,38,0.684,25,71,27,10,7,20,44,2023-2024
75,Duke,2,1,1,0.5,37.05,20.55,1,1,0,0,165,132,80,66,124,0.532,15,40,0.375,18,24,0.75,13,66,32,15,9,23,35,2023-2024
76,Duquesne,3,3,0,1,10.2,-3.8,2,0,0,0,254,212,120,91,193,0.472,33,89,0.371,39,57,0.684,40,129,49,23,13,36,57,2023-2024
77,East Carolina,2,2,0,1,22,8,2,0,0,0,168,124,80,57,115,0.496,16,50,0.32,38,50,0.76,24,72,33,26,3,25,35,2023-2024
78,East Tennessee State,3,1,2,0.333,-11.61,6.89,1,0,0,2,196,216,120,72,193,0.373,20,81,0.247,32,48,0.667,35,118,29,21,19,43,53,2023-2024
79,Eastern Illinois,3,1,2,0.333,-15.63,10.37,1,0,0,2,208,214,120,79,209,0.378,19,51,0.373,31,47,0.66,50,123,36,23,5,28,46,2023-2024
80,Eastern Kentucky,2,2,0,1,NA,NA,2,0,0,0,241,147,80,92,167,0.551,22,65,0.338,35,57,0.614,42,109,61,25,17,25,32,2023-2024
81,Eastern Michigan,2,1,1,0.5,-15.47,-0.97,1,0,0,1,125,154,80,44,111,0.396,15,46,0.326,22,33,0.667,20,72,25,7,2,33,39,2023-2024
82,Eastern Washington,3,0,3,0,3.07,22.4,0,0,0,3,203,261,120,76,182,0.418,18,75,0.24,33,47,0.702,21,98,49,17,3,42,71,2023-2024
83,Elon,3,1,2,0.333,-16.6,-4.26,1,0,0,2,225,262,120,79,174,0.454,28,63,0.444,39,56,0.696,24,95,33,16,7,44,53,2023-2024
84,Evansville,2,2,0,1,-16.95,-24.95,2,0,0,0,188,110,80,71,132,0.538,12,35,0.343,34,51,0.667,27,96,29,18,9,24,24,2023-2024
85,Fairfield,3,1,2,0.333,-5.87,10.13,1,0,0,2,242,227,120,86,204,0.422,38,102,0.373,32,42,0.762,41,121,49,26,13,38,46,2023-2024
86,Fairleigh Dickinson,3,2,1,0.667,-22.37,-10.37,1,0,1,1,254,234,120,83,194,0.428,33,98,0.337,55,80,0.688,25,109,54,33,6,35,53,2023-2024
87,Florida,2,1,1,0.5,29.77,21.27,1,0,0,0,163,146,80,62,127,0.488,13,41,0.317,26,45,0.578,34,86,33,15,7,27,35,2023-2024
88,Florida A&M,2,0,2,0,-19.84,19.16,0,0,0,2,108,186,80,43,130,0.331,5,27,0.185,17,26,0.654,17,56,17,14,8,20,40,2023-2024
89,Florida Atlantic,1,1,0,1,21.21,8.21,0,0,0,0,75,62,40,26,56,0.464,8,23,0.348,15,21,0.714,9,33,16,11,5,13,19,2023-2024
90,Florida Gulf Coast,3,1,2,0.333,-8.7,0.31,1,0,0,2,217,226,120,81,183,0.443,26,89,0.292,29,45,0.644,28,105,40,17,9,28,54,2023-2024
91,Florida International,3,0,3,0,-10.65,4.69,0,1,0,2,207,253,120,72,176,0.409,23,83,0.277,40,57,0.702,35,89,41,35,12,55,46,2023-2024
92,Florida State,2,2,0,1,-17.67,-44.67,2,0,0,0,188,134,80,69,136,0.507,23,61,0.377,27,40,0.675,23,79,46,22,10,29,42,2023-2024
93,Fordham,2,1,1,0.5,10.07,10.57,1,1,0,0,141,142,85,51,117,0.436,17,55,0.309,22,44,0.5,27,67,24,14,7,29,38,2023-2024
94,Fresno State,2,1,1,0.5,-4.1,5.9,1,0,0,1,146,145,80,53,97,0.546,13,35,0.371,27,38,0.711,12,60,30,20,7,34,31,2023-2024
95,Furman,2,2,0,1,30.17,7.17,2,0,0,0,183,144,80,65,132,0.492,15,50,0.3,38,57,0.667,24,97,35,20,11,32,36,2023-2024
96,Gardner-Webb,3,1,2,0.333,-2.86,13.64,1,0,0,2,228,221,120,81,206,0.393,22,76,0.289,44,67,0.657,46,126,42,18,9,36,62,2023-2024
97,George Mason,2,2,0,1,20.32,3.82,2,0,0,0,139,106,80,44,102,0.431,16,45,0.356,35,50,0.7,23,88,23,9,8,29,29,2023-2024
98,George Washington,2,2,0,1,29.21,3.71,2,0,0,0,184,133,80,61,121,0.504,21,53,0.396,41,52,0.788,12,86,26,15,13,25,23,2023-2024
99,Georgetown,2,1,1,0.5,3.38,-14.62,1,1,0,0,161,125,80,59,125,0.472,21,56,0.375,22,38,0.579,29,83,38,16,5,21,29,2023-2024
100,Georgia,3,2,1,0.667,12.09,11.42,2,0,0,0,215,213,120,72,184,0.391,22,76,0.289,49,73,0.671,31,116,34,24,9,35,56,2023-2024
101,Georgia Southern,2,0,2,0,-31.55,-15.55,0,0,0,2,122,154,80,42,117,0.359,15,58,0.259,23,33,0.697,25,69,14,10,3,28,40,2023-2024
102,Georgia State,2,1,1,0.5,5.24,2.74,0,0,1,1,164,159,80,61,131,0.466,13,38,0.342,29,43,0.674,28,74,19,14,4,22,48,2023-2024
103,Georgia Tech,2,2,0,1,-4.95,-17.45,2,0,0,0,172,147,80,61,137,0.445,17,47,0.362,33,54,0.611,37,80,29,16,7,20,35,2023-2024
104,Gonzaga,1,1,0,1,9,-6,1,0,0,0,86,71,40,32,64,0.5,7,19,0.368,15,21,0.714,14,42,13,9,0,10,16,2023-2024
105,Grambling,2,1,1,0.5,-14.13,17.87,1,0,0,1,145,162,80,47,118,0.398,8,32,0.25,43,61,0.705,25,71,15,12,6,19,36,2023-2024
106,Grand Canyon,2,2,0,1,9.79,-17.71,2,0,0,0,177,122,80,62,117,0.53,13,38,0.342,40,55,0.727,25,89,21,19,11,30,34,2023-2024
107,Green Bay,2,1,1,0.5,-14.35,26.65,1,0,0,1,116,141,80,43,102,0.422,15,58,0.259,15,25,0.6,17,62,26,9,6,23,33,2023-2024
108,Hampton,3,1,2,0.333,-20.65,-11.15,1,0,0,2,257,213,120,96,190,0.505,24,80,0.3,41,62,0.661,35,117,45,27,5,48,65,2023-2024
109,Harvard,2,2,0,1,0,-13,1,0,1,0,167,126,80,65,124,0.524,14,44,0.318,23,32,0.719,21,83,37,11,13,21,26,2023-2024
110,Hawaii,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-2024
111,High Point,2,1,1,0.5,0,1,1,0,0,1,203,150,80,62,129,0.481,24,62,0.387,55,73,0.753,34,103,35,14,4,24,40,2023-2024
112,Hofstra,2,1,1,0.5,9.18,16.18,1,1,0,0,168,122,80,66,134,0.493,26,66,0.394,10,14,0.714,23,77,44,13,7,22,30,2023-2024
113,Holy Cross,2,1,1,0.5,-4.5,-4,0,0,1,1,139,140,80,54,109,0.495,15,40,0.375,16,28,0.571,24,73,21,8,5,23,36,2023-2024
114,Houston,3,3,0,1,12.37,-26.29,3,0,0,0,245,129,120,84,185,0.454,26,77,0.338,51,78,0.654,52,133,50,45,17,30,48,2023-2024
115,Houston Christian,1,0,1,0,-25.33,21.67,0,0,0,1,63,110,40,26,60,0.433,3,16,0.188,8,16,0.5,1,25,8,6,1,15,12,2023-2024
116,Howard,3,1,2,0.333,-13.56,-9.56,1,0,0,2,263,275,120,86,169,0.509,22,57,0.386,69,91,0.758,29,103,29,20,9,55,60,2023-2024
117,Idaho,2,0,2,0,1.09,15.09,0,1,0,1,132,160,80,46,112,0.411,16,51,0.314,24,31,0.774,13,56,25,18,10,27,39,2023-2024
118,Idaho State,3,1,2,0.333,-6.85,9.15,1,0,0,2,200,176,120,77,153,0.503,18,47,0.383,28,47,0.596,24,104,38,26,11,48,55,2023-2024
119,Illinois,2,2,0,1,15.04,-4.46,2,0,0,0,144,105,80,55,113,0.487,14,47,0.298,20,39,0.513,19,86,28,7,7,21,21,2023-2024
120,Illinois State,2,1,1,0.5,-16.22,-7.22,1,0,0,1,146,136,80,51,119,0.429,20,58,0.345,24,41,0.585,21,82,28,10,6,30,42,2023-2024
121,Illinois-Chicago,2,1,1,0.5,4.02,2.02,1,0,0,1,144,140,80,54,118,0.458,12,37,0.324,24,35,0.686,20,77,20,10,11,29,33,2023-2024
122,Incarnate Word,2,0,2,0,-20.46,2.54,0,0,0,2,127,173,80,41,141,0.291,13,56,0.232,32,50,0.64,36,87,17,13,5,27,44,2023-2024
123,Indiana,2,2,0,1,-8.69,-15.69,2,0,0,0,141,127,80,48,88,0.545,8,24,0.333,37,52,0.712,12,62,27,11,10,29,23,2023-2024
124,Indiana State,2,1,1,0.5,5.19,27.19,1,0,0,1,170,162,80,58,109,0.532,22,56,0.393,32,51,0.627,11,61,33,18,5,24,40,2023-2024
125,Iona,2,1,1,0.5,-9.87,-12.37,1,0,0,1,157,152,80,60,134,0.448,19,48,0.396,18,32,0.563,27,76,22,20,10,20,35,2023-2024
126,Iowa,2,2,0,1,37.15,0.65,2,0,0,0,208,135,80,73,147,0.497,21,53,0.396,41,55,0.745,30,92,50,18,5,13,33,2023-2024
127,Iowa State,3,3,0,1,15.2,-27.13,3,0,0,0,273,146,120,101,197,0.513,19,51,0.373,52,73,0.712,40,122,56,46,12,21,57,2023-2024
128,IUPUI,2,2,0,1,0,-10,1,0,1,0,136,119,80,50,123,0.407,8,32,0.25,28,36,0.778,27,70,21,19,6,24,31,2023-2024
129,Jackson State,3,0,3,0,-3.62,15.38,0,0,0,3,204,261,120,74,177,0.418,22,62,0.355,34,55,0.618,34,103,37,18,9,49,62,2023-2024
130,Jacksonville,2,1,1,0.5,-18.37,4.63,1,0,0,1,169,125,80,66,150,0.44,11,45,0.244,26,39,0.667,42,110,34,29,8,33,45,2023-2024
131,Jacksonville State,2,1,1,0.5,-11.35,-9.35,1,1,0,0,170,122,85,53,114,0.465,11,35,0.314,53,61,0.869,24,82,23,13,10,31,29,2023-2024
132,James Madison,3,3,0,1,10.61,0.94,1,0,2,0,299,270,135,98,214,0.458,36,84,0.429,67,93,0.72,34,126,56,29,12,37,83,2023-2024
133,Kansas,2,2,0,1,41.33,0.83,2,0,0,0,198,117,80,77,123,0.626,23,49,0.469,21,26,0.808,15,82,59,11,12,24,28,2023-2024
134,Kansas City,2,2,0,1,NA,NA,2,0,0,0,174,90,80,65,135,0.481,16,47,0.34,28,50,0.56,36,86,29,24,10,22,31,2023-2024
135,Kansas State,3,2,1,0.667,-18.22,-24.22,2,0,0,0,243,225,120,85,195,0.436,34,89,0.382,39,55,0.709,47,120,56,28,9,48,51,2023-2024
136,Kennesaw State,2,1,1,0.5,-43.27,-16.27,1,0,0,1,160,140,80,58,146,0.397,16,58,0.276,28,43,0.651,32,110,30,16,7,30,31,2023-2024
137,Kent State,3,2,1,0.667,1.69,-0.81,2,1,0,0,266,240,130,86,192,0.448,27,78,0.346,67,88,0.761,39,112,42,21,9,40,53,2023-2024
138,Kentucky,2,2,0,1,5.39,-24.61,2,0,0,0,167,107,80,64,132,0.485,17,52,0.327,22,29,0.759,20,79,29,21,6,9,21,2023-2024
139,La Salle,2,2,0,1,-4.12,-9.62,2,0,0,0,146,135,80,54,117,0.462,15,39,0.385,23,30,0.767,19,61,30,12,10,15,30,2023-2024
140,Lafayette,3,0,3,0,-3.67,16.99,0,0,0,3,163,225,120,56,160,0.35,21,77,0.273,30,46,0.652,26,94,37,20,13,45,55,2023-2024
141,Lamar,2,1,1,0.5,6.4,17.4,1,0,0,1,181,144,80,63,142,0.444,18,51,0.353,37,42,0.881,31,95,43,21,10,29,50,2023-2024
142,Le Moyne,3,1,2,0.333,-23.22,8.28,1,0,0,2,219,223,120,86,197,0.437,28,92,0.304,19,35,0.543,20,99,49,29,11,23,46,2023-2024
143,Lehigh,3,0,3,0,9.12,21.45,0,1,0,2,211,248,120,79,198,0.399,23,75,0.307,30,39,0.769,27,111,43,27,6,42,64,2023-2024
144,Liberty,2,2,0,1,17.25,5.25,1,0,0,0,174,102,80,65,120,0.542,27,59,0.458,17,25,0.68,25,82,33,8,7,20,21,2023-2024
145,Lindenwood,3,1,2,0.333,-26.7,16.8,1,0,0,2,182,238,120,71,176,0.403,13,56,0.232,27,42,0.643,29,96,27,22,5,43,51,2023-2024
146,Lipscomb,3,1,2,0.333,-2.33,13.67,1,0,0,2,242,235,120,92,192,0.479,32,91,0.352,26,41,0.634,22,99,46,20,14,32,45,2023-2024
147,Little Rock,2,1,1,0.5,-15.01,-10.01,1,0,0,1,142,152,80,47,123,0.382,9,35,0.257,39,52,0.75,25,67,19,14,8,25,40,2023-2024
148,Long Beach State,2,1,1,0.5,7.21,7.71,0,0,1,1,150,151,80,53,130,0.408,12,43,0.279,32,49,0.653,29,84,25,12,6,29,44,2023-2024
149,Long Island University,2,0,2,0,-15.61,9.39,0,1,0,1,120,170,80,38,114,0.333,10,32,0.313,34,49,0.694,16,66,24,16,3,25,41,2023-2024
150,Longwood,2,1,1,0.5,-5.5,-1.5,1,0,0,1,164,116,80,60,134,0.448,10,39,0.256,34,47,0.723,45,97,21,11,6,20,28,2023-2024
151,Louisiana,2,1,1,0.5,5,4.5,1,0,0,1,150,149,80,56,126,0.444,14,47,0.298,24,30,0.8,25,71,28,11,8,29,37,2023-2024
152,Louisiana State,2,1,1,0.5,-7.72,-29.72,1,1,0,0,172,128,80,56,115,0.487,17,45,0.378,43,60,0.717,24,69,24,23,7,25,33,2023-2024
153,Louisiana Tech,2,1,1,0.5,10,18,1,0,0,1,173,124,80,67,138,0.486,19,55,0.345,20,31,0.645,26,83,36,22,5,20,40,2023-2024
154,Louisiana-Monroe,2,1,1,0.5,-36.9,-15.4,0,0,1,1,105,148,80,40,99,0.404,13,40,0.325,12,26,0.462,23,64,24,16,6,40,39,2023-2024
155,Louisville,2,1,1,0.5,-7.34,-2.84,1,1,0,0,165,174,80,60,136,0.441,8,32,0.25,37,59,0.627,37,88,20,11,7,29,41,2023-2024
156,Loyola (IL),2,1,1,0.5,10.25,4.75,1,0,0,0,151,140,80,54,105,0.514,18,48,0.375,25,36,0.694,10,64,32,10,13,28,32,2023-2024
157,Loyola (MD),2,1,1,0.5,9.51,18.51,0,0,1,1,150,168,85,56,126,0.444,18,48,0.375,20,29,0.69,18,69,29,16,8,29,42,2023-2024
158,Loyola Marymount,2,1,1,0.5,-9,-6,1,1,0,0,189,151,80,71,132,0.538,18,50,0.36,29,43,0.674,17,69,26,13,7,19,50,2023-2024
159,Maine,3,1,2,0.333,-11.75,-0.25,1,1,0,1,228,199,120,88,187,0.471,18,68,0.265,34,53,0.642,29,112,48,34,10,33,55,2023-2024
160,Manhattan,2,1,1,0.5,6.22,24.22,0,0,1,1,122,158,80,47,131,0.359,9,42,0.214,19,26,0.731,24,78,17,13,5,31,36,2023-2024
161,Marist,2,2,0,1,-3.34,-14.34,0,0,2,0,136,114,80,55,116,0.474,12,36,0.333,14,24,0.583,14,73,29,17,6,24,34,2023-2024
