Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
1,Abilene Christian,2,1,1,0.5,12.7,20.2,0,0,1,1,128,143,80,46,114,0.404,10,35,0.286,26,38,0.684,24,72,22,8,4,26,37,2023-2024
2,Air Force,3,1,2,0.333,-1.85,-1.85,0,1,1,1,194,194,120,71,154,0.461,22,69,0.319,30,49,0.612,24,100,49,12,14,36,58,2023-2024
3,Akron,2,2,0,1,-33.48,-45.48,1,0,1,0,153,129,80,52,112,0.464,20,57,0.351,29,35,0.829,17,68,28,19,4,28,33,2023-2024
4,Alabama,2,2,0,1,18.32,-8.68,2,0,0,0,207,153,80,65,121,0.537,23,46,0.5,54,65,0.831,28,80,26,19,9,24,35,2023-2024
5,Alabama A&M,1,0,1,0,0,16,0,0,0,1,67,83,40,20,56,0.357,4,14,0.286,23,36,0.639,15,37,9,9,2,17,20,2023-2024
6,Alabama State,2,0,2,0,9.37,29.87,0,0,0,2,126,167,80,40,127,0.315,15,47,0.319,31,41,0.756,29,92,16,11,6,27,49,2023-2024
7,Albany (NY),2,1,1,0.5,-6.12,2.88,0,0,1,1,149,167,80,47,115,0.409,15,43,0.349,40,58,0.69,24,80,24,6,8,33,41,2023-2024
8,Alcorn State,2,1,1,0.5,-18.85,15.15,1,0,0,1,129,155,80,44,111,0.396,6,24,0.25,35,56,0.625,20,65,17,17,3,23,45,2023-2024
9,American,3,1,2,0.333,-1.76,6.91,1,0,0,2,197,223,120,73,179,0.408,23,80,0.288,28,39,0.718,32,93,43,25,5,34,62,2023-2024
10,Appalachian State,2,1,1,0.5,-24.82,-11.82,1,0,0,1,165,140,80,64,148,0.432,14,46,0.304,23,45,0.511,35,91,28,18,9,19,32,2023-2024
11,Arizona,3,3,0,1,36.12,0.78,2,0,1,0,297,191,120,103,199,0.518,25,61,0.41,66,86,0.767,52,148,64,31,14,47,49,2023-2024
12,Arizona State,2,1,1,0.5,-14.49,-12.49,1,0,0,0,119,123,80,38,110,0.345,11,39,0.282,32,54,0.593,19,75,23,18,6,24,31,2023-2024
13,Arkansas,3,3,0,1,4.85,-15.48,3,0,0,0,265,204,120,88,173,0.509,27,67,0.403,62,97,0.639,29,125,46,17,25,29,54,2023-2024
14,Arkansas State,2,0,2,0,6.66,24.16,0,0,0,2,151,186,80,56,124,0.452,11,43,0.256,28,42,0.667,19,62,22,10,6,27,38,2023-2024
15,Arkansas-Pine Bluff,4,3,1,0.75,-32.18,-22.18,2,0,1,1,392,325,160,136,270,0.504,52,121,0.43,68,84,0.81,39,156,67,40,7,55,71,2023-2024
16,Army,3,0,3,0,-20.09,-7.76,0,1,0,2,163,200,120,59,174,0.339,26,90,0.289,19,40,0.475,38,105,36,24,1,44,55,2023-2024
